1:Aaliyah
2:Rose Abdoo
3:Donzaleigh Abernathy
4:Amy Acker
5:Anabelle Acosta
6:Isabella Acres
7:Amy Adams
8:Catlin Adams
9:Joey Lauren Adams
10:Lillian Adams
11:Amanda Aday
12:Alexandra Adi
13:Pamela Adlon
14:Aarthi Agarwal
15:Keiko Agena
16:Dianna Agron
17:Rita Rani Ahuja
18:Desiree Akhavan
19:Mackenzie Aladjem
20:Lori Alan
21:Rutanya Alda
22:Raquel Alessi
23:Jaimie Alexander
24:Khandi Alexander
25:Sasha Alexander
26:Tatyana Ali
27:Bianca Allaine
28:Christa B. Allen
29:Debbie Allen
30:Joan Allen
31:Kim Allen
32:Laura Allen
33:Tessa Allen
34:Jamie Anne Allman
35:Daniella Alonso
36:Cristela Alonzo
37:Trini Alvarado
38:Isis the Amazon
39:Rachel Ames
40:Eva Amurri Martino
41:Andrea Anders
42:Audrey Marie Anderson
43:Ella Anderson
44:45:Loni Anderson
46:Pamela Anderson
47:Paola Andino
48:Meghan Andrews
49:Auti Angel
50:Felecia Angelle
51:Genevieve Angelson
52:Jennifer Aniston
53:Lisa Ann
54:Lulu Antariksa
55:Susan Anton
56:Iris Apatow
57:Shiri Appleby
58:Bryn Apprill
59:Lisa Arch
60:Ashley Argota
61:Adria Arjona
62:Bess Armstrong
63:Lucie Arnaz
64:Alexis Arquette
65:Rosanna Arquette
66:Bea Arthur
67:Katie Aselton
68:Daphne Ashbrook
69:Patricia Ashley
70:Jennifer Aspen
71:Essence Atkins
72:Hayley Atwell
73:Alana Austin
74:Karen Austin
75:Elizabeth Avell\xe1n
76:Shondrella Avery
77:Ayelet Newman
78:Reiko Aylesworth
79:Valerie Azlynn
80:Lauren Bacall
81:Catherine Bach
82:Sosie Bacon
83:Lorri Bagley
84:Iris Bahr
85:Katherine Bailess
86:Cynthia Bailey
87:Adrienne Bailon
88:Robin Bain
89:Amanda Baker
90:Becky Ann Baker
91:Carroll Baker
92:Kathy Baker
93:Brenda Bakke
94:Kate Baldwin
95:Tia Ballard
96:Amanda Balon
97:Allison Balson
98:Anne Bancroft
99:Vivian Bang
100:Tyra Banks
101:Adrienne Barbeau
102:Jenni Barber
103:Ellen Barkin
104:Anita Barone
105:Roseanne Barr
106:Tammy Barr
107:Sasha Barrese
108:Marlyne Barrett
109:Dana Barron
110:Diana Barrows
111:Jessica Barth
112:Bonnie Bartlett
113:Mischa Barton
114:Anna Baryshnikov
115:Ashley Bashioum
116:Angela Bassett
117:Justine Bateman
118:Kathy Bates
119:Michelle Bauer
120:Aviva Baumann
121:Susan Bay
122:Jordan Bayne
123:Violett Beane
124:Amanda Bearse
125:Madisen Beaty
126:Noelle Beck
127:Emily Beecham
128:Heather Beers
129:Zazie Beetz
130:Katrina Begin
131:Nicole Beharie
132:Shari Belafonte
133:Anna Belknap
134:Emma Bell
135:Jillian Bell
136:Lake Bell
137:Eva Bella
138:Camilla Belle
139:Maria Bello
140:Laura Benanti
141:Annette Bening
142:Elizabeth Ann Bennett
143:Melissa Benoist
144:Ashley Benson
145:Violet Benson
146:Julie Benz
147:Paris Berelc
148:Candice Bergen
149:Kelli Berglund
150:Elizabeth Berkley
151:Jeannie Berlin
152:Julissa Berm\xfadez
153:Sandra Bernhard
154:Valerie Bertinelli
155:Angela Bettis
156:Beyonc\xe9
157:Mayim Bialik
158:Camren Bicondova
159:Nicole Bilderback
160:Barbara Billingsley
161:Roxanna Bina
162:Thora Birch
163:Olivia Birkelund
164:Summer Bishil
165:Loanne Bishop
166:Kaitlyn Black
167:Linda Blair
168:Amelia Rose Blaire
169:Nzinga Blake
170:Jolene Blalock
171:Rowan Blanchard
172:Kirby Bliss Blanton
173:Alexis Bledel
174:Heidi Blickenstaff
175:Jolee Blon
176:Moon Bloodgood
177:Verna Bloom
178:Daphne Blunt
179:Sharon Blynn
180:Ashley Boettcher
181:Elizabeth Bogush
182:Nazanin Boniadi
183:Lesley Boone
184:Mika Boorem
185:Lynn Borden
186:Samantha Boscarino
187:Kate Bosworth
188:Katrina Bowden
189:Julie Bowen
190:April Bowlby
191:Jessica Bowman
192:Eileen April Boylan
193:Lorraine Bracco
194:Kathleen Bradley
195:Abby Brammell
196:Betsy Brandt
197:Steffani Brass
198:Tamara Braun
199:Stephanie Braxton
200:Laura Breckenridge
201:Amy Brenneman
202:Eve Brent
203:Jamie Brewer
204:Jordana Brewster
205:Angelica Bridges
206:Alison Brie
207:Taylor Bright
208:Christie Brinkley
209:Morgan Brittany
210:Beth Broderick
211:Aimee Brooks
212:Danielle Brooks
213:Kimberly Brooks
214:Rebecca Broussard
215:Bailey Michelle Brown
216:Bobbi Kristina Brown
217:Emilie Brown
218:Jasmin Savoy Brown
219:Kimberlin Brown
220:Sophina Brown
221:Yvette Nicole Brown
222:Shelbie Bruce
223:Amy Bruckner
224:Lakatriona Brunson
225:Aidy Bryant
226:Joy Bryant
227:Samantha Buck
228:Kira Buckland
229:Joyce Bulifant
230:Laura Bell Bundy
231:Ashly Burch
232:Lindsay Burdge
233:Dora Madison Burge
234:Brooke Burke-Charvet
235:Delta Burke
236:Courtney Taylor Burness
237:Molly Burnett
238:Brooke Burns
239:Heather Burns
240:Brandy Burre
241:Saffron Burrows
242:Hilarie Burton
243:Sophia Bush
244:Yasmine Al-Bustami
245:Brett Butler
246:Yancy Butler
247:Ruth Buzzi
248:Martha Byrne
249:Angelique Cabral
250:Erin Cahill
251:Eden Cale
252:Shelley Calene-Black
253:K Callan
254:Sarah Wayne Callies
255:Jessica Calvello
256:Jessica Cambensy
257:Anna Camp
258:Tisha Campbell-Martin
259:Danielle Campbell
260:Maia Campbell
261:Dyan Cannon
262:Diana Canova
263:Francesca Capaldi
264:Lizzy Caplan
265:Kate Capshaw
266:Linda Cardellini
267:Erin Cardillo
268:Nancy Carell
269:Mariah Carey
270:Kelly Carlson
271:Julie Carmen
272:Gabrielle Carmouche
273:Jennifer Carpenter
274:Geneva Carr
275:Ever Carradine
276:Asia Carrera
277:Tia Carrere
278:Diahann Carroll
279:Victoria Carroll
280:Lisa Nicole Carson
281:Victoria Cartagena
282:Finn Carter
283:Lily Carter
284:Veronica Cartwright
285:Mary Carver
286:Sue Casey
287:Joanna Cassidy
288:Kate del Castillo
289:Raquel Castro
290:Darlene Cates
291:Jessica Cauffiel
292:Cathy Cavadini
293:Ang\xe9lica Celaya
294:Lacey Chabert
295:Jessica Chaffin
296:Carly Chaikin
297:Sarah Chalke
298:Erin Chambers
299:Marilyn Chambers
300:Jacki R. Chan
301:Alexandra Chando
302:Christina Chang
303:Katie Chang
304:Carol Channing
305:Rosalind Chao
306:Judith Chapman
307:Melanie Chartoff
308:Hayley Chase
309:Maree Cheatham
310:Kristin Chenoweth
311:Alexandra Cheron
312:Cindy Cheung
313:Kallie Flynn Childress
314:Tracee Chimo
315:Anna Chlumsky
316:Eunice Cho
317:Smith Cho
318:Kelsey Chow
319:Claudia Christian
320:Luci Christian
321:Jamie Chung
322:Julie Claire
323:Candy Clark
324:Eliza Clark
325:Victoria Clark
326:Melinda Clarke
327:Kelly Clarkson
328:Patricia Clarkson
329:Jill Clayburgh
330:Kiersey Clemons
331:Colleen Clinkenbeard
332:Glenn Close
333:Abbie Cobb
334:Noell Coet
335:Lauren Cohan
336:Mindy Cohn
337:Natalie Cole
338:Taylor Cole
339:Holliston Coleman
340:Monique Coleman
341:Signy Coleman
342:Sheena Colette
343:Margaret Colin
344:Bianca Collins
345:Karley Scott Collins
346:Lynn Collins
347:Shannon Collis
348:Holly Marie Combs
349:Julie Condra
350:Didi Conn
351:Jennifer Connelly
352:Amber Lee Connors
353:Frances Conroy
354:Amelia Cooke
355:Carrie Coon
356:Marianne Leone Cooper
357:Emayatzy Corinealdi
358:Tonya Cornelisse
359:Tara Correa-McMullen
360:Genevieve Cortese
361:Ana Coto
362:Shamika Cotton
363:Catherine E. Coulson
364:Stephanie Courtney
365:Courteney Cox
366:Jennifer Elise Cox
367:Nikki Cox
368:Isabella Cramp
369:Cynthia Cranz
